date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:22	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://erakleskera.wixsite.com/robots.txt		(from )
14:45:22	602690/602690	---MCZ	200	added ('OK')	text/html	etag:W/%226294a49e7e311e1d3a419d7394a87d52%22	https://erakleskera.wixsite.com/akfa	C:/My%20Web%20Sites/akfa/erakleskera.wixsite.com/akfa.html	(from )
14:45:23	13931/13931	---M-Z	200	added ('OK')	application/javascript	etag:W/%22874003548001f80d851026d1051a3e6b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.4f87f994.bundle.min.js	C:/My%20Web%20Sites/akfa/static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.4f87f994.bundle.min.js	(from https://erakleskera.wixsite.com/akfa)
14:45:24	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/akfa/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://erakleskera.wixsite.com/akfa)
14:45:24	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/akfa/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://erakleskera.wixsite.com/akfa)
14:45:25	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20May%202025%2011:45:24%20GMT	https://erakleskera.wixsite.com/s	C:/My%20Web%20Sites/akfa/erakleskera.wixsite.com/s.4.delayed	(from https://erakleskera.wixsite.com/akfa)
14:45:25	2508/2508	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20May%202025%2011:45:24%20GMT	https://erakleskera.wixsite.com/t	C:/My%20Web%20Sites/akfa/erakleskera.wixsite.com/t.5.delayed	(from https://erakleskera.wixsite.com/akfa)
14:45:26	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20May%202025%2011:45:25%20GMT	https://erakleskera.wixsite.com/	C:/My%20Web%20Sites/akfa/erakleskera.wixsite.com/index.html	(from https://erakleskera.wixsite.com/akfa)
14:45:26	138000/138000	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20May%202025%2011:45:25%20GMT	https://static.wixstatic.com/media/11062b_b75407a670324c39babd882c6c01d983f000.jpg/v1/fill/w_1080,h_1080,al_c,q_85,enc_avif,quality_auto/11062b_b75407a670324c39babd882c6c01d983f000.jpg	C:/My%20Web%20Sites/akfa/static.wixstatic.com/media/11062b_b75407a670324c39babd882c6c01d983f000.jpg/v1/fill/w_1080,h_1080,al_c,q_85,enc_avif,quality_auto/11062b_b75407a670324c39babd882c6c01d983f000.jpg	(from https://erakleskera.wixsite.com/akfa)
14:45:26	6075/6075	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20May%202025%2011:45:26%20GMT	https://static.wixstatic.com/media/127a3b_d696b07c6f094063935ec9e0a9910f24~mv2.jpg/v1/fill/w_168,h_182,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/127a3b_d696b07c6f094063935ec9e0a9910f24~mv2.jpg	C:/My%20Web%20Sites/akfa/static.wixstatic.com/media/127a3b_d696b07c6f094063935ec9e0a9910f24_mv2.jpg/v1/fill/w_168,h_182,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/127a3b_d696b07c6f094063935ec9e0a9910f24_mv2.jpg	(from https://erakleskera.wixsite.com/akfa)
